vnum,volcano_name,region,latitude,longitude,elevation_meters,is_monitored,nvews_threat,threat_score,alert_level,color_code,alert_score,color_score,obs_abbr,obs_fullname,volcano_url,volcano_image_url,hans_url,eq_count_30d,eq_max_mag_30d,eq_avg_mag_30d,eq_avg_depth_km,eq_shallow_count,composite_risk_score
315001,Buzzard Creek,Alaska - Interior Alaska,64.061082,-148.431932,830,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Buzzard Creek,https://avo.alaska.edu/images/dbimages/display/1105555604_90_3.jpg,,0,0.0,0.0,0.0,0,10.0
311230,Carlisle,Alaska - Aleutians,52.8906,-170.0576,1620,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Carlisle,https://avo.alaska.edu/images/dbimages/display/1117135575_22_3.jpg,,0,0.0,0.0,0.0,0,10.0
311200,Chagulak,Alaska - Aleutians,52.5714,-171.1395,1142,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Chagulak,https://avo.alaska.edu/images/dbimages/display/1218579130_ak46.jpg,,0,0.0,0.0,0.0,0,10.0
311040,Davidof,Alaska - Aleutians,51.9542,178.326,328,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Davidof,https://avo.alaska.edu/images/dbimages/display/1361583314.jpg,,0,0.0,0.0,0.0,0,10.0
315050,Duncan Canal,Alaska - Southeast Alaska,56.4996,-133.102,15,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Duncan Canal,,,0,0.0,0.0,0.0,0,10.0
312260,Fourpeaked,Alaska - Alaska Peninsula,58.7703,-153.6738,2104,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/activity/Fourpeaked.php,https://avo.alaska.edu/images/dbimages/display/1107820940_44_3.jpg,,0,0.0,0.0,0.0,0,10.0
311220,Herbert,Alaska - Aleutians,52.741,-170.113,1290,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Herbert,https://avo.alaska.edu/images/dbimages/display/1109361813_56_3.jpg,,0,0.0,0.0,0.0,0,10.0
314030,Ingakslugwat Hills,Alaska - Southwest Alaska,61.43,-164.47,190,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Ingakslugwat Hills,,,0,0.0,0.0,0.0,0,10.0
311260,Kagamil,Alaska - Aleutians,52.9726,-169.719,893,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Kagamil,https://avo.alaska.edu/images/dbimages/display/1109358464_24_3.jpg,,0,0.0,0.0,0.0,0,10.0
311140,Koniuji,Alaska - Aleutians,52.2189,-175.1323,272,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Koniuji,https://avo.alaska.edu/images/dbimages/display/1218581667_ak168.jpg,,0,0.0,0.0,0.0,0,10.0
314020,Nunivak Island,Alaska - Southwest Alaska,60.099,-166.496,511,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Nunivak Island,https://avo.alaska.edu/images/dbimages/display/1296862165_ak204.jpg,,0,0.0,0.0,0.0,0,10.0
